"start","end","label","description"
7078584,7118257,"nrps","deep"
7385659,7388675,"saccharide","deep"
7623284,7715706,"ripp","deep"
8228870,8235982,"terpene","deep"
8288250,8293976,"pks","deep"
8468384,8563058,"nrps","deep"
8610787,8635487,"pks","deep"
31460,41750,"pks","deep"
12285,133520,"polyketide","emerald"
172170,184797,"terpene","emerald"
202863,266263,"alkaloid","emerald"
395065,425157,"saccharide","emerald"
497375,536408,"nrp","emerald"
583522,601051,"nrp polyketide","emerald"
846084,853212,"ripp","emerald"
1241590,1282541,"nrp","emerald"
1332873,1367440,"polyketide","emerald"
1994053,2009395,"other","emerald"
2539582,2565877,"polyketide","emerald"
2615131,2639798,"ripp","emerald"
2792392,2812253,"saccharide","emerald"
2927749,2964702,"other","emerald"
3004801,3043723,"other","emerald"
3382380,3399072,"other","emerald"
3513073,3606342,"nrp","emerald"
4006935,4028808,"polyketide","emerald"
5502704,5539733,"polyketide","emerald"
5680218,5684576,"terpene","emerald"
5776741,5798684,"polyketide","emerald"
5927800,5941379,"ripp","emerald"
6334614,6343370,"other","emerald"
6433764,6470988,"nrp polyketide","emerald"
6830272,6877184,"polyketide","emerald"
6884252,6984001,"polyketide","emerald"
7084064,7146243,"nrp","emerald"
7508709,7540017,"terpene","emerald"
7581046,7606355,"polyketide","emerald"
7655814,7715820,"other","emerald"
8022244,8030491,"polyketide","emerald"
8490911,8620226,"polyketide","emerald"
103781,121371,"pks","gecco"
168705,177496,"terpene","gecco"
498683,533448,"nrps","gecco"
1335695,1361419,"pks","gecco"
2931776,2950345,"saccharide","gecco"
3524828,3602320,"nrps","gecco"
5515246,5536994,"pks","gecco"
5785753,5791297,"pks","gecco"
6432593,6467702,"pks","gecco"
6847315,6863275,"pks","gecco"
6889594,6948414,"pks","gecco"
7106284,7117874,"nrps","gecco"
7516017,7523399,"terpene","gecco"
7586410,7601569,"pks","gecco"
8258333,8283623,"ripp","gecco"
8493549,8542072,"nrps","gecco"
103780,128290,"pks","prism"
255310,261084,"class_i_lantipeptide","prism"
513988,533448,"nrps","prism"
586986,589546,"pks","prism"
2000499,2000898,"ectoine","prism"
2559339,2563090,"pks","prism"
2938688,2944875,"melanin","prism"
3038894,3040682,"nis_synthase","prism"
3513615,3585724,"nrps","prism"
5511270,5534546,"benzoisochromanequinone","prism"
5785752,5795837,"pentangular_polyphenol","prism"
6432592,6458318,"pks__nrps","prism"
6890527,6947423,"butyrolactone__pks","prism"
7108263,7120497,"nrps","prism"
7414295,7422622,"class_iii_iv_lantipeptide","prism"
7586409,7598555,"pks","prism"
7695015,7699626,"class_i_lantipeptide","prism"
8504460,8523749,"nrps","prism"
231675,251017,"butyrolactone__furan","prism"
246868,272469,"lanthipeptidea","ripp"
4886990,4940861,"linaridin","ripp"
7407798,7459926,"lanthipeptidec_d","ripp"
7681180,7705273,"lanthipeptidea","ripp"
256525,259687,"ripp","rre"
7696261,7699360,"ripp","rre"
106723,110434,"pks","sempi"
307598,308816,"nrps","sempi"
513997,524488,"nrps","sempi"
1405117,1405750,"nrps","sempi"
1477976,1479275,"nrps","sempi"
2290771,2292100,"nrps","sempi"
2559357,2561673,"pks","sempi"
2622623,2623751,"nrps","sempi"
2762807,2764220,"nrps","sempi"
2963180,2964527,"nrps","sempi"
3328396,3329098,"nrps","sempi"
3543364,3584771,"nrps","sempi"
3797561,3798752,"nrps","sempi"
3941523,3942822,"nrps","sempi"
4398632,4399859,"nrps","sempi"
4799973,4801182,"nrps","sempi"
4923207,4924557,"nrps","sempi"
5531212,5532682,"pks","sempi"
5786632,5788168,"pks","sempi"
6447994,6454855,"nrps-pks","sempi"
6558978,6560136,"nrps","sempi"
6804366,6807194,"nrps","sempi"
6901254,6931905,"pks","sempi"
7004464,7004725,"nrps","sempi"
7108290,7116050,"nrps","sempi"
7249252,7250602,"nrps","sempi"
7549538,7550897,"nrps","sempi"
7591514,7598516,"pks","sempi"
7734541,7735729,"nrps","sempi"
8053551,8054721,"nrps","sempi"
8140076,8141438,"nrps","sempi"
8282564,8283500,"nrps","sempi"
8504751,8523677,"nrps","sempi"
