sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_251763-262319.1	251763	262319	10556	9	20	6	0.71258	antibacterial	0.78	0.11	0.08	0.15	RiPP	0.01	0.15	0.12	0.17	0.53	0.04	0.01	NC_003888.3_NC_003888.3_224;NC_003888.3_NC_003888.3_225;NC_003888.3_NC_003888.3_226;NC_003888.3_NC_003888.3_227;NC_003888.3_NC_003888.3_228;NC_003888.3_NC_003888.3_229;NC_003888.3_NC_003888.3_230;NC_003888.3_NC_003888.3_231;NC_003888.3_NC_003888.3_232	PF00903;PF00975;PF01408;PF05147;PF00561;PF04738	PF01408;PF01978;PF12802;PF01047;PF13412;PF09339;PF00392;PF13545;PF00903;PF12833;PF00561;PF00975;PF12697;PF12146;PF12695;PF07819;PF04738;PF14028;PF05147;PF00528
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_297514-309131.1	297514	309131	11617	9	13	2	0.61725	antibacterial	0.60	0.06	0.04	0.18		0.00	0.35	0.24	0.32	0.09	0.01	0.02	NC_003888.3_NC_003888.3_263;NC_003888.3_NC_003888.3_264;NC_003888.3_NC_003888.3_265;NC_003888.3_NC_003888.3_266;NC_003888.3_NC_003888.3_267;NC_003888.3_NC_003888.3_268;NC_003888.3_NC_003888.3_269;NC_003888.3_NC_003888.3_270;NC_003888.3_NC_003888.3_271	PF00501;PF00903	PF00440;PF12681;PF00903;PF08937;PF13676;PF12697;PF13560;PF01381;PF00144;PF14278;PF00440;PF00501;PF13193
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_320109-322255.1	320109	322255	2146	2	5	1	0.56163	antibacterial	0.54	0.10	0.38	0.14	Polyketide	0.04	0.14	0.12	0.57	0.12	0.00	0.08	NC_003888.3_NC_003888.3_279;NC_003888.3_NC_003888.3_280	PF00107	PF00107;PF13602;PF00135;PF07859;PF00326
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_329437-331365.1	329437	331365	1928	3	6	0	0.55903	antibacterial	0.75	0.05	0.15	0.31		0.00	0.13	0.08	0.31	0.20	0.03	0.30	NC_003888.3_NC_003888.3_286;NC_003888.3_NC_003888.3_287;NC_003888.3_NC_003888.3_288		PF13340;PF01609;PF13359;PF13612;PF13586;PF00144
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_332310-341318.1	332310	341318	9008	7	15	3	0.58710	antibacterial	0.81	0.07	0.15	0.33	Polyketide	0.01	0.03	0.06	0.76	0.02	0.00	0.14	NC_003888.3_NC_003888.3_290;NC_003888.3_NC_003888.3_291;NC_003888.3_NC_003888.3_292;NC_003888.3_NC_003888.3_293;NC_003888.3_NC_003888.3_294;NC_003888.3_NC_003888.3_295;NC_003888.3_NC_003888.3_296	PF00106;PF01370;PF08659	PF00106;PF08659;PF01370;PF13561;PF13460;PF00440;PF13022;PF16859;PF03055;PF10518;PF14200;PF00754;PF03435;PF13460;PF00440
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_345816-347706.1	345816	347706	1890	1	2	0	0.60335	antibacterial	0.87	0.06	0.17	0.26		0.00	0.08	0.04	0.28	0.19	0.18	0.28	NC_003888.3_NC_003888.3_301		PF13229;PF05048
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_349418-351352.1	349418	351352	1934	2	5	0	0.52089	antibacterial	0.85	0.09	0.17	0.24		0.00	0.09	0.19	0.28	0.20	0.02	0.27	NC_003888.3_NC_003888.3_303;NC_003888.3_NC_003888.3_304		PF01614;PF12802;PF09339;PF07436;PF01557
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_353791-355686.1	353791	355686	1895	2	2	1	0.52221	antibacterial	0.92	0.10	0.05	0.21	Terpene	0.05	0.09	0.04	0.15	0.06	0.02	0.61	NC_003888.3_NC_003888.3_307;NC_003888.3_NC_003888.3_308	PF00248	PF00248;PF04909
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_364558-366795.1	364558	366795	2237	2	4	0	0.52680	antibacterial	0.81	0.07	0.22	0.24		0.00	0.09	0.07	0.33	0.21	0.03	0.32	NC_003888.3_NC_003888.3_318;NC_003888.3_NC_003888.3_319		PF13377;PF00532;PF00356;PF01557
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_370065-372478.1	370065	372478	2413	3	9	4	0.57281	antibacterial	0.76	0.04	0.19	0.36	Polyketide	0.01	0.03	0.01	0.92	0.02	0.03	0.02	NC_003888.3_NC_003888.3_323;NC_003888.3_NC_003888.3_324;NC_003888.3_NC_003888.3_325	PF02737;PF00106;PF01370;PF08659	PF00106;PF01370;PF08659;PF03435;PF05368;PF02737;PF13561;PF14486;PF06912
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_395938-429403.1	395938	429403	33465	28	74	19	0.94701		0.48	0.29	0.29	0.22	Saccharide	0.02	0.03	0.20	0.06	0.00	0.69	0.01	NC_003888.3_NC_003888.3_339;NC_003888.3_NC_003888.3_340;NC_003888.3_NC_003888.3_341;NC_003888.3_NC_003888.3_342;NC_003888.3_NC_003888.3_343;NC_003888.3_NC_003888.3_344;NC_003888.3_NC_003888.3_345;NC_003888.3_NC_003888.3_346;NC_003888.3_NC_003888.3_347;NC_003888.3_NC_003888.3_348;NC_003888.3_NC_003888.3_349;NC_003888.3_NC_003888.3_350;NC_003888.3_NC_003888.3_351;NC_003888.3_NC_003888.3_352;NC_003888.3_NC_003888.3_353;NC_003888.3_NC_003888.3_354;NC_003888.3_NC_003888.3_355;NC_003888.3_NC_003888.3_356;NC_003888.3_NC_003888.3_357;NC_003888.3_NC_003888.3_358;NC_003888.3_NC_003888.3_359;NC_003888.3_NC_003888.3_360;NC_003888.3_NC_003888.3_361;NC_003888.3_NC_003888.3_362;NC_003888.3_NC_003888.3_363;NC_003888.3_NC_003888.3_364;NC_003888.3_NC_003888.3_365;NC_003888.3_NC_003888.3_366	PF08242;PF02585;PF00107;PF01370;PF00202;PF01408;PF03720;PF03721;PF00535;PF08241;PF00534;PF08421;PF00908;PF04321;PF00984;PF02706;PF00702;PF02397;PF08484	PF13727;PF02397;PF03721;PF01262;PF00984;PF03720;PF13477;PF13579;PF13439;PF00534;PF13692;PF13524;PF02706;PF02706;PF13522;PF13537;PF12481;PF00733;PF03054;PF02826;PF02254;PF00107;PF01408;PF03447;PF16889;PF05426;PF07940;PF13229;PF05048;PF13439;PF13579;PF00534;PF13692;PF13524;PF08421;PF13489;PF08242;PF08241;PF08484;PF12804;PF02585;PF04321;PF01370;PF16363;PF13460;PF01073;PF16254;PF09940;PF04389;PF16221;PF13641;PF00535;PF10111;PF13704;PF04230;PF00908;PF00202;PF01569;PF14378;PF11706;PF07336;PF00702;PF13419;PF13242;PF04672;PF13646;PF00376;PF13411;PF09278;PF13646;PF13489;PF08241;PF08242;PF13649
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_431961-437224.1	431961	437224	5263	7	11	2	0.66524	inhibitor	0.31	0.09	0.53	0.10	Polyketide	0.00	0.18	0.17	0.69	0.02	0.00	0.01	NC_003888.3_NC_003888.3_371;NC_003888.3_NC_003888.3_372;NC_003888.3_NC_003888.3_373;NC_003888.3_NC_003888.3_374;NC_003888.3_NC_003888.3_375;NC_003888.3_NC_003888.3_376;NC_003888.3_NC_003888.3_377	PF00107;PF08240	PF05719;PF12680;PF14534;PF08281;PF04542;PF06197;PF08894;PF01872;PF08240;PF00107;PF13602
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_438996-446144.1	438996	446144	7148	6	13	1	0.58250	antibacterial	0.63	0.07	0.09	0.28		0.00	0.35	0.23	0.27	0.10	0.01	0.04	NC_003888.3_NC_003888.3_380;NC_003888.3_NC_003888.3_381;NC_003888.3_NC_003888.3_382;NC_003888.3_NC_003888.3_383;NC_003888.3_NC_003888.3_384;NC_003888.3_NC_003888.3_385	PF00561	PF02518;PF13581;PF07730;PF03176;PF00873;PF12349;PF14100;PF03403;PF00561;PF12146;PF12697;PF00440;PF13305
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_466428-467909.1	466428	467909	1481	2	4	0	0.51567	antibacterial-antifungal	0.78	0.02	0.18	0.60	Polyketide	0.02	0.01	0.04	0.90	0.03	0.00	0.01	NC_003888.3_NC_003888.3_405;NC_003888.3_NC_003888.3_406		PF07690;PF00083;PF07690;PF05977
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_490450-492881.1	490450	492881	2431	3	8	2	0.60069	antibacterial	0.52	0.16	0.10	0.38		0.00	0.40	0.16	0.36	0.05	0.02	0.03	NC_003888.3_NC_003888.3_428;NC_003888.3_NC_003888.3_429;NC_003888.3_NC_003888.3_430	PF00975;PF00561	PF02627;PF00561;PF00975;PF12697;PF12146;PF00756;PF12833;PF00165
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_497374-537512.1	497374	537512	40138	29	71	6	0.82418		0.45	0.46	0.14	0.14	NRP	0.03	0.84	0.07	0.03	0.02	0.02	0.01	NC_003888.3_NC_003888.3_435;NC_003888.3_NC_003888.3_436;NC_003888.3_NC_003888.3_437;NC_003888.3_NC_003888.3_438;NC_003888.3_NC_003888.3_439;NC_003888.3_NC_003888.3_440;NC_003888.3_NC_003888.3_441;NC_003888.3_NC_003888.3_442;NC_003888.3_NC_003888.3_443;NC_003888.3_NC_003888.3_444;NC_003888.3_NC_003888.3_445;NC_003888.3_NC_003888.3_446;NC_003888.3_NC_003888.3_447;NC_003888.3_NC_003888.3_448;NC_003888.3_NC_003888.3_449;NC_003888.3_NC_003888.3_450;NC_003888.3_NC_003888.3_451;NC_003888.3_NC_003888.3_452;NC_003888.3_NC_003888.3_453;NC_003888.3_NC_003888.3_454;NC_003888.3_NC_003888.3_455;NC_003888.3_NC_003888.3_456;NC_003888.3_NC_003888.3_457;NC_003888.3_NC_003888.3_458;NC_003888.3_NC_003888.3_459;NC_003888.3_NC_003888.3_460;NC_003888.3_NC_003888.3_461;NC_003888.3_NC_003888.3_462;NC_003888.3_NC_003888.3_463	PF01266;PF00903;PF01494;PF00668;PF00501;PF00561	PF00005;PF13175;PF13555;PF13476;PF13304;PF00903;PF13669;PF12902;PF00459;PF03067;PF00182;PF01494;PF01266;PF01262;PF03486;PF13450;PF07992;PF13738;PF00440;PF01494;PF12802;PF13463;PF09339;PF01047;PF02082;PF08531;PF05592;PF17389;PF17390;PF03621;PF11806;PF00756;PF00561;PF00005;PF00664;PF00550;PF00668;PF13193;PF00501;PF00005;PF00664;PF01497;PF13191;PF13604;PF00005;PF13238;PF13175;PF13401;PF02456;PF13555;PF13304;PF09818;PF13476;PF01032;PF01032;PF07992;PF13434;PF13454;PF00551;PF00148;PF13439;PF02911;PF17227;PF08530;PF02129;PF04123;PF09656;PF12740;PF07224;PF12697;PF03403
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_539122-542131.1	539122	542131	3009	1	4	0	0.59738	antibacterial	0.86	0.06	0.16	0.27		0.00	0.09	0.07	0.32	0.21	0.04	0.31	NC_003888.3_NC_003888.3_465		PF07691;PF16990;PF03422;PF06439
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_543544-544087.1	543544	544087	543	1	1	0	0.54283	antibacterial	0.61	0.05	0.12	0.17		0.00	0.05	0.39	0.19	0.17	0.02	0.21	NC_003888.3_NC_003888.3_468		PF00440
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_548967-549621.1	548967	549621	654	1	2	0	0.52716	antibacterial	0.87	0.07	0.17	0.26		0.00	0.10	0.07	0.33	0.21	0.03	0.31	NC_003888.3_NC_003888.3_474		PF12867;PF11716
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_586986-589546.1	586986	589546	2560	3	5	4	0.65291	antibacterial	0.60	0.07	0.26	0.20	Polyketide	0.00	0.35	0.03	0.77	0.00	0.00	0.17	NC_003888.3_NC_003888.3_506;NC_003888.3_NC_003888.3_507;NC_003888.3_NC_003888.3_508	PF00698;PF02801;PF00108;PF00109	PF00698;PF02801;PF00109;PF00108;PF00550
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_605121-610356.1	605121	610356	5235	5	8	1	0.58996		0.49	0.02	0.40	0.20	Polyketide-Terpene	0.00	0.03	0.00	0.79	0.00	0.02	0.91	NC_003888.3_NC_003888.3_522;NC_003888.3_NC_003888.3_523;NC_003888.3_NC_003888.3_524;NC_003888.3_NC_003888.3_525;NC_003888.3_NC_003888.3_526	PF00348	PF13360;PF13570;PF05406;PF09995;PF00348;PF13340;PF01609;PF13586
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_618787-637824.1	618787	637824	19037	20	39	3	0.75081		0.40	0.37	0.23	0.09		0.01	0.05	0.43	0.12	0.14	0.03	0.26	NC_003888.3_NC_003888.3_536;NC_003888.3_NC_003888.3_537;NC_003888.3_NC_003888.3_538;NC_003888.3_NC_003888.3_539;NC_003888.3_NC_003888.3_540;NC_003888.3_NC_003888.3_541;NC_003888.3_NC_003888.3_542;NC_003888.3_NC_003888.3_543;NC_003888.3_NC_003888.3_544;NC_003888.3_NC_003888.3_545;NC_003888.3_NC_003888.3_546;NC_003888.3_NC_003888.3_547;NC_003888.3_NC_003888.3_548;NC_003888.3_NC_003888.3_549;NC_003888.3_NC_003888.3_550;NC_003888.3_NC_003888.3_551;NC_003888.3_NC_003888.3_552;NC_003888.3_NC_003888.3_553;NC_003888.3_NC_003888.3_554;NC_003888.3_NC_003888.3_555	PF08241;PF08242;PF00067	PF01261;PF00121;PF02502;PF02734;PF02733;PF00083;PF07690;PF03825;PF00392;PF13545;PF09339;PF07729;PF00067;PF00067;PF03029;PF00071;PF00025;PF00009;PF08477;PF05331;PF03259;PF02518;PF03466;PF00126;PF02567;PF05544;PF01183;PF00941;PF13489;PF13847;PF05401;PF01209;PF08241;PF05175;PF08242;PF13649;PF03358;PF02525;PF00210
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_680495-696168.1	680495	696168	15673	20	43	8	0.78120		0.44	0.38	0.24	0.14	Polyketide	0.02	0.17	0.12	0.70	0.04	0.02	0.07	NC_003888.3_NC_003888.3_597;NC_003888.3_NC_003888.3_598;NC_003888.3_NC_003888.3_599;NC_003888.3_NC_003888.3_600;NC_003888.3_NC_003888.3_601;NC_003888.3_NC_003888.3_602;NC_003888.3_NC_003888.3_603;NC_003888.3_NC_003888.3_604;NC_003888.3_NC_003888.3_605;NC_003888.3_NC_003888.3_606;NC_003888.3_NC_003888.3_607;NC_003888.3_NC_003888.3_608;NC_003888.3_NC_003888.3_609;NC_003888.3_NC_003888.3_610;NC_003888.3_NC_003888.3_611;NC_003888.3_NC_003888.3_612;NC_003888.3_NC_003888.3_613;NC_003888.3_NC_003888.3_614;NC_003888.3_NC_003888.3_615;NC_003888.3_NC_003888.3_616	PF08242;PF00106;PF08240;PF08659;PF08241;PF00107;PF01370;PF03364	PF01435;PF03965;PF01978;PF12802;PF02342;PF13424;PF07719;PF03067;PF09362;PF13602;PF00107;PF08240;PF00440;PF16859;PF00106;PF01370;PF08659;PF13561;PF13460;PF01135;PF02353;PF06325;PF13489;PF05724;PF01728;PF01209;PF13847;PF05401;PF13649;PF08241;PF08242;PF05148;PF05800;PF00741;PF06386;PF05120;PF10604;PF03364;PF08327;PF00741;PF06386;PF00741;PF05121
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_720031-722964.1	720031	722964	2933	4	7	0	0.56907	inhibitor	0.24	0.02	0.70	0.14		0.02	0.22	0.06	0.34	0.27	0.01	0.09	NC_003888.3_NC_003888.3_635;NC_003888.3_NC_003888.3_636;NC_003888.3_NC_003888.3_637;NC_003888.3_NC_003888.3_638		PF01374;PF05532;PF07690;PF06609;PF00083;PF06779;PF05977
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_736311-749279.1	736311	749279	12968	16	19	0	0.69926	antibacterial	0.63	0.14	0.08	0.10	RiPP	0.00	0.01	0.10	0.04	0.85	0.00	0.00	NC_003888.3_NC_003888.3_652;NC_003888.3_NC_003888.3_653;NC_003888.3_NC_003888.3_654;NC_003888.3_NC_003888.3_655;NC_003888.3_NC_003888.3_656;NC_003888.3_NC_003888.3_657;NC_003888.3_NC_003888.3_658;NC_003888.3_NC_003888.3_659;NC_003888.3_NC_003888.3_660;NC_003888.3_NC_003888.3_661;NC_003888.3_NC_003888.3_662;NC_003888.3_NC_003888.3_663;NC_003888.3_NC_003888.3_664;NC_003888.3_NC_003888.3_665;NC_003888.3_NC_003888.3_666;NC_003888.3_NC_003888.3_667		PF14404;PF10027;PF01965;PF00165;PF17196;PF02463;PF13191;PF00005;PF13555;PF03193;PF00664;PF02518;PF13581;PF04149;PF04672;PF13458;PF13433;PF02653;PF02653
NC_003888.3	deepbgc	0.1.0	deepbgc	NC_003888.3_753317-757246.1	753317	757246	3929	2	9	0	0.50999	antibacterial	0.69	0.07	0.13	0.31		0.00	0.23	0.13	0.43	0.15	0.02	0.07	NC_003888.3_NC_003888.3_672;NC_003888.3_NC_003888.3_673		PF00196;PF13384;PF13936;PF13424;PF12697;PF12695;PF01738;PF03403;PF12146
